"origin_id","dest_id","tons","ton_miles","distance_miles","commodity_group","scenario_id"
"269","183",5900.418885,1260.793036,75,"food_sctg_01_08","REGIONALIZED"
"369","423",6352.146263,1249.55686,75,"food_sctg_01_08","REGIONALIZED"
"064","069",7065.36994,1248.283725,75.0248770979429,"food_sctg_01_08","REGIONALIZED"
"179","189",5114.628981,1204.273144,75,"food_sctg_01_08","REGIONALIZED"
"209","311",4157.635047,1199.173185,156.484068603966,"food_sctg_01_08","REGIONALIZED"
"065","069",7714.932217,1195.796393,75,"food_sctg_01_08","REGIONALIZED"
"300","300",5449.585922,1183.327062,125.982394236301,"food_sctg_01_08","REGIONALIZED"
"209","202",6300.972588,1153.396615,75,"food_sctg_01_08","REGIONALIZED"
"350","350",7659.335643,1145.157576,72.24053125687,"food_sctg_01_08","REGIONALIZED"
"411","539",4160.956066,1134.172635,155.21129139699,"food_sctg_01_08","REGIONALIZED"
"182","189",9988.578692,1084.438563,74.623006238814,"food_sctg_01_08","REGIONALIZED"
"061","064",2657.227443,1056.232653,175,"food_sctg_01_08","REGIONALIZED"
"279","190",4038.999444,1051.741365,124.836832460827,"food_sctg_01_08","REGIONALIZED"
"539","531",5066.075406,1040.875721,75,"food_sctg_01_08","REGIONALIZED"
"261","269",5192.383043,1026.931896,75,"food_sctg_01_08","REGIONALIZED"
"064","061",2641.819878,1024.95786,175,"food_sctg_01_08","REGIONALIZED"
"559","551",7999.388808,1017.136241,75,"food_sctg_01_08","REGIONALIZED"
"069","064",6119.078628,985.165941,75,"food_sctg_01_08","REGIONALIZED"
"409","489",2758.039474,954.100629,166.898855614421,"food_sctg_01_08","REGIONALIZED"
"369","369",9133.349591,949.323059,65.7501101147766,"food_sctg_01_08","REGIONALIZED"
"190","319",3308.059948,949.270694,118.013521742865,"food_sctg_01_08","REGIONALIZED"
"172","179",6072.224477,916.103515,75,"food_sctg_01_08","REGIONALIZED"
"262","269",5773.383157,914.996629,75,"food_sctg_01_08","REGIONALIZED"
"222","223",4448.484497,904.861343,75,"food_sctg_01_08","REGIONALIZED"
"319","081",2123.370042,876.775089,175,"food_sctg_01_08","REGIONALIZED"
"409","409",5552.768768,866.82951,75,"food_sctg_01_08","REGIONALIZED"
"201","209",3753.771129,863.503818,75,"food_sctg_01_08","REGIONALIZED"
"380","279",2687.740029,848.668776,149.594950641337,"food_sctg_01_08","REGIONALIZED"
"069","321",2086.144,837.514423,175,"food_sctg_01_08","REGIONALIZED"
"489","486",3064.213565,829.656885,121.753576949197,"food_sctg_01_08","REGIONALIZED"
"393","399",6758.896253,828.68651,75,"food_sctg_01_08","REGIONALIZED"
"190","311",4663.253224,824.701827,75,"food_sctg_01_08","REGIONALIZED"
"479","139",2290.074187,815.388419,161.428052778187,"food_sctg_01_08","REGIONALIZED"
"061","069",3109.816792,805.115118,112.437925957408,"food_sctg_01_08","REGIONALIZED"
"311","190",4131.924814,797.293255,75,"food_sctg_01_08","REGIONALIZED"
"249","519",3257.465883,795.794247,145.347238629851,"food_sctg_01_08","REGIONALIZED"
"319","089",1643.395587,792.62269,325.456594234484,"food_sctg_01_08","REGIONALIZED"
"020","020",3478.68332,780.171012,74.9734740585699,"food_sctg_01_08","REGIONALIZED"
"551","559",5207.004278,777.140402,75,"food_sctg_01_08","REGIONALIZED"
"069","065",6454.654948,772.312461,74.135769991589,"food_sctg_01_08","REGIONALIZED"
"489","350",2453.21166,764.548926,189.398843595909,"food_sctg_01_08","REGIONALIZED"
"189","183",4985.206161,759.499268,75,"food_sctg_01_08","REGIONALIZED"
"061","041",2062.935933,756.811812,175,"food_sctg_01_08","REGIONALIZED"
"069","062",3794.167493,742.344651,76.2942787868643,"food_sctg_01_08","REGIONALIZED"
"064","064",15614.406528,736.126246,25,"food_sctg_01_08","REGIONALIZED"
"399","393",5526.994923,727.177703,75,"food_sctg_01_08","REGIONALIZED"
"139","131",4751.576092,722.74577,75,"food_sctg_01_08","REGIONALIZED"
"171","171",21828.4939,721.48981,25,"food_sctg_01_08","REGIONALIZED"
"399","190",1315.198919,707.165093,375,"food_sctg_01_08","REGIONALIZED"
"459","459",7716.68002,671.912639,25,"food_sctg_01_08","REGIONALIZED"
"280","019",2620.815915,658.136385,130.645343064852,"food_sctg_01_08","REGIONALIZED"
"299","292",3567.997362,657.820523,75,"food_sctg_01_08","REGIONALIZED"
"364","369",4941.693547,650.115676,75,"food_sctg_01_08","REGIONALIZED"
"131","131",13189.313116,648.796661,25,"food_sctg_01_08","REGIONALIZED"
"319","311",5032.010054,640.24328,74.9658479219724,"food_sctg_01_08","REGIONALIZED"
"229","229",4838.218969,632.593631,71.3530982344838,"food_sctg_01_08","REGIONALIZED"
"379","519",2630.293191,621.51752,105.477273284323,"food_sctg_01_08","REGIONALIZED"
"319","209",2346.940348,613.108141,117.35724192339,"food_sctg_01_08","REGIONALIZED"
"531","539",3935.981818,598.940253,75,"food_sctg_01_08","REGIONALIZED"
"129","019",1487.461323,598.185601,162.168873633967,"food_sctg_01_08","REGIONALIZED"
"081","089",3638.904895,593.220201,75,"food_sctg_01_08","REGIONALIZED"
"179","190",1976.030335,587.847323,130.725115221979,"food_sctg_01_08","REGIONALIZED"
"129","122",3261.87081,582.414432,75,"food_sctg_01_08","REGIONALIZED"
"190","559",2067.33682,578.68856,175,"food_sctg_01_08","REGIONALIZED"
"183","189",3953.945118,576.515969,75,"food_sctg_01_08","REGIONALIZED"
"484","484",11226.793212,561.373452,25,"food_sctg_01_08","REGIONALIZED"
"190","271",2223.34921,552.630768,96.1408262312514,"food_sctg_01_08","REGIONALIZED"
"409","402",3121.617506,551.818022,75,"food_sctg_01_08","REGIONALIZED"
"129","124",4715.177016,550.42708,57.8283200449839,"food_sctg_01_08","REGIONALIZED"
"181","179",2460.01134,546.571543,75,"food_sctg_01_08","REGIONALIZED"
"261","399",2779.024748,540.035154,75,"food_sctg_01_08","REGIONALIZED"
